Hráč,Cena
Danford B.,15,0
Chadwick N.,15,0
Keller A.,15,0
Manson J.,15,0
Marchment M.,15,0
McCleary R.,15,0
Monahan S.,15,0
Parsons R.,15,0
Petersen C.,15,0
Prokop J.,15,0
Sharpe C.,15,0
Smith B.,15,0
Sogaard M.,15,0
Talbot C.,15,0
Vatrano F.,15,0
Villeneuve W.,15,0
Webber C.,15,0
Askarov Y.,14,9
Doan J.,14,9
Ellis C.,14,9
Fowler C.,14,9
Niederreiter N.,14,9
Orlov D.,14,9
Shepard H.,14,9
Carfagna D.,14,8
Koskenvuo A.,14,8
Leppänen A.,14,8
Raymond L.,14,8
Slavin J.,14,8
Tolvanen E.,14,8
Young T.,14,8
Georgiev A.,14,7
Johansson J.,14,7
Johnston W.,14,7
Korpisalo J.,14,7
Pickard C.,14,7
Woll J.,14,7
Crouse L.,14,6
Fleury M.,14,6
Heinola V.,14,6
Norris J.,14,6
Rakell R.,14,6
Andersson R.,14,5
DeAngelo T.,14,5
Ekman-Larsson O.,14,5
Knight S.,14,5
Mastro E.,14,5
Nedeljkovic A.,14,5
Pettersson E.,14,5
Power O.,14,5
Rittich D.,14,5
Sholl M.,14,5
Thomas R.,14,5
Foegele W.,14,4
Granlund M.,14,4
Gustafsson E.,14,4
Chatfield J.,14,4
Kraus J.,14,4
Strome D.,14,4
Binnington J.,14,3
Dineen C.,14,3
Faulk J.,14,3
Gaizo M.,14,3
Gucciardi D.,14,3
Chesley R.,14,3
Muggli L.,14,3
Rielly M.,14,3
Roy M.,14,3
Trocheck V.,14,3
Colton R.,14,2
Eklund W.,14,2
Fehérváry M.,14,2
Malinski S.,14,2
Moore T.,14,2
Pinto S.,14,2
Rust B.,14,2
Toews D.,14,2
Davies J.,14,1
Guentzel J.,14,1
L'Heureux Z.,14,1
Lindbom C.,14,1
Lindholm E.,14,1
Sedoff C.,14,1
Spence J.,14,1
Attard R.,14,0
McBain J.,14,0
Olivier M.,14,0
Terry T.,14,0
Vilardi G.,14,0
Buchnevich P.,13,9
Dorrington J.,13,9
Hofer J.,13,9
Kulich J.,13,9
McCarthy C.,13,9
Molendyk T.,13,9
Seeler N.,13,9
Šustr A.,13,9
Voronkov D.,13,9
Beniers M.,13,8
Garland C.,13,8
Hronek F.,13,8
Komarov V.,13,8
Mikkola N.,13,8
Mrtka R.,13,8
Rossi M.,13,8
Alcos P.,13,7
Arntsen J.,13,7
Carlsson L.,13,7
Daws N.,13,7
Fabbro D.,13,7
Foerster T.,13,7
Grundstrom C.,13,7
Kasper M.,13,7
Kopitar A.,13,7
Lee J.,13,7
Malkin E.,13,7
Rinzel S.,13,7
Varlamov S.,13,7
Cournoyer A.,13,6
DiPietro M.,13,6
Eberle J.,13,6
Heineman E.,13,6
Hrebik B.,13,6
Johansson M.,13,6
Markstrom J.,13,6
Middleton K.,13,6
Morrow S.,13,6
Motte T.,13,6
Palmieri K.,13,6
Scheel A.,13,6
Barbashev I.,13,5
Barlow C.,13,5
Blomqvist J.,13,5
Coghlan D.,13,5
Edmundson J.,13,5
Julien J.,13,5
Larsson A.,13,5
Lee A.,13,5
Wagner F.,13,5
Walton K.,13,5
Wilsby A.,13,5
Yager B.,13,5
Zhilkin D.,13,5
Clarke B.,13,4
Coronato M.,13,4
Frederic T.,13,4
Greenway J.,13,4
O'Reilly R.,13,4
Olofsson V.,13,4
Sandin R.,13,4
Stillman R.,13,4
Thornton A.,13,4
Vaccari M.,13,4
Booth A.,13,3
Buium Z.,13,3
DeMelo D.,13,3
Feldbergs L.,13,3
Gauthier T.,13,3
Kochetkov P.,13,3
Kuzmenko A.,13,3
Larsson F.,13,3
Lehkonen A.,13,3
Murashov S.,13,3
Roslovic J.,13,3
Tarasenko V.,13,3
Barron J.,13,2
Dubois P.,13,2
Foligno M.,13,2
Gatcomb M.,13,2
Gudas R.,13,2
Kapanen K.,13,2
Korczak K.,13,2
Kulikov D.,13,2
Malenstyn B.,13,2
Soderblom A.,13,2
Stankoven L.,13,2
Whitecloud Z.,13,2
Arvidsson V.,13,1
Beauvillier A.,13,1
Behrens S.,13,1
Buium S.,13,1
Clifton C.,13,1
Hintz R.,13,1
Chiarot B.,13,1
McNabb B.,13,1
Pospíšil M.,13,1
Regula A.,13,1
Smith W.,13,1
Berard B.,13,0
Berezhnoy S.,13,0
Blackwood M.,13,0
Carcone M.,13,0
Carlile D.,13,0
Gahagen P.,13,0
Gallagher B.,13,0
Gudbranson E.,13,0
Haula E.,13,0
Karlsson W.,13,0
Knyzhov N.,13,0
Bolduc Z.,12,9
Couturier S.,12,9
Coyle C.,12,9
Hague N.,12,9
Jones M.,12,9
Marrelli L.,12,9
Mayo D.,12,9
Quinn J.,12,9
Sanheim T.,12,9
Schenn L.,12,9
Timmins C.,12,9
Zegras T.,12,9
Bitten S.,12,8
Boeser B.,12,8
Carbonneau J.,12,8
Fyodorov M.,12,8
Johnson K.,12,8
Korotky M.,12,8
Kos O.,12,8
Kulak B.,12,8
McIlrath D.,12,8
Mrsic T.,12,8
Nylander A.,12,8
Peca M.,12,8
Pekarcik J.,12,8
Peterson D.,12,8
Protas A.,12,8
Reilly M.,12,8
Robertsson S.,12,8
Stancl J.,12,8
Stange S.,12,8
Stenberg O.,12,8
Vorobyov I.,12,8
Boqvist J.,12,7
Byram B.,12,7
Duehr W.,12,7
Goos M.,12,7
Henrique A.,12,7
Kreider C.,12,7
Mayorov M.,12,7
Middleton J.,12,7
Perbix N.,12,7
Poirier R.,12,7
Broberg P.,12,6
Clang C.,12,6
Hayton B.,12,6
Hutton B.,12,6
Krys L.,12,6
Leskovar S.,12,6
Lindholm H.,12,6
McMann B.,12,6
Backlund M.,12,5
Balinskis U.,12,5
Bishop W.,12,5
Brossoit L.,12,5
Fagan P.,12,5
Gavrikov V.,12,5
Helleson D.,12,5
Chromiak J.,12,5
Jenken N.,12,5
Leonard R.,12,5
Lohrei M.,12,5
McMichael C.,12,5
Pellikka A.,12,5
Petry J.,12,5
Price C.,12,5
Severson D.,12,5
Walker N.,12,5
Brickey R.,12,4
Bunting M.,12,4
Carrier W.,12,4
Fensore D.,12,4
Kettles P.,12,4
Laine P.,12,4
Livingstone J.,12,4
Myers T.,12,4
Perry C.,12,4
Pietila C.,12,4
Sebrango D.,12,4
Smith C.,12,4
Zetterlund F.,12,4
Donovan J.,12,3
Evangelista L.,12,3
Hamara T.,12,3
Harrington S.,12,3
Parekh Z.,12,3
Santini S.,12,3
Simmons-Fischer B.,12,3
Staal J.,12,3
Tanev B.,12,3
Thomson L.,12,3
Yakemchuk C.,12,3
Andonovski C.,12,2
Bonk O.,12,2
Ceci C.,12,2
Devine A.,12,2
Donato R.,12,2
Emberson T.,12,2
Gadjovich J.,12,2
Hall T.,12,2
Howden B.,12,2
Chorske B.,12,2
Johannes H.,12,2
Lundmark A.,12,2
McAllister R.,12,2
McLinskey L.,12,2
Neighbours J.,12,2
Paul N.,12,2
Point B.,12,2
Samuelsson M.,12,2
Sawchyn G.,12,2
Schneider B.,12,2
Schwindt K.,12,2
St. Martin H.,12,2
Steeves B.,12,2
Vilmanis S.,12,2
Wood M.,12,2
Anderson M.,12,1
Brink B.,12,1
Brunet F.,12,1
Cates N.,12,1
Danault P.,12,1
Frost M.,12,1
Greig R.,12,1
Klingberg J.,12,1
Lafreniere A.,12,1
Mateychuk D.,12,1
Molgaard O.,12,1
O'Brien L.,12,1
Schenn B.,12,1
Zacha P.,12,1
Becher O.,12,0
DeBrusk J.,12,0
Fleury C.,12,0
Krebs P.,12,0
Kunin L.,12,0
Liljegren T.,12,0
Lombardi A.,12,0
Martinook J.,12,0
Mercer D.,12,0
Sillinger C.,12,0
Tucker T.,12,0
Aamodt W.,11,9
Gregor N.,11,9
Joshua D.,11,9
McCabe J.,11,9
Myers P.,11,9
Nelson B.,11,9
Stanley L.,11,9
Suter P.,11,9
Benoit S.,11,8
Clague K.,11,8
Ferraro M.,11,8
Giroux C.,11,8
Legault C.,11,8
McCarron M.,11,8
Pelech A.,11,8
Pulock R.,11,8
Raddysh D.,11,8
Studnicka J.,11,8
Brodin J.,11,7
Johnson R.,11,7
Lindgren R.,11,7
Robertson M.,11,7
Simashev D.,11,7
Thompson J.,11,7
Baddock B.,11,6
Barbolini M.,11,6
Day S.,11,6
DeSimone N.,11,6
Dumba M.,11,6
Fontaine G.,11,6
Geekie C.,11,6
Grainger L.,11,6
Haymes L.,11,6
Holinka M.,11,6
Chytil F.,11,6
King B.,11,6
Kirwan R.,11,6
Kressler B.,11,6
Marino J.,11,6
McCormick M.,11,6
McDonald C.,11,6
Pare C.,11,6
Perron D.,11,6
Rheaume N.,11,6
Rowe L.,11,6
Shaw L.,11,6
Sikic M.,11,6
Sim L.,11,6
Solovyov I.,11,6
Stevens S.,11,6
Tomasek D.,11,6
Tverberg R.,11,6
Valis B.,11,6
Aspirot J.,11,5
Drysdale J.,11,5
Edvinsson S.,11,5
Engstrom A.,11,5
Evans R.,11,5
Girard S.,11,5
Greer A.,11,5
Iafallo A.,11,5
Johnstone M.,11,5
Kakko K.,11,5
Mazur C.,11,5
McGowan M.,11,5
Philp N.,11,5
Struble J.,11,5
Wagner C.,11,5
Zub A.,11,5
Aston-Reese Z.,11,4
Barron M.,11,4
Benn J.,11,4
Blake J.,11,4
Cernak E.,11,4
Clattenburg C.,11,4
Clurman N.,11,4
Marjala V.,11,4
Nemec Š.,11,4
Nicholl W.,11,4
Pezzetta M.,11,4
Quillan J.,11,4
Samanski J.,11,4
Skinner J.,11,4
Woo J.,11,4
Benson Z.,11,3
Dewar C.,11,3
Dumais J.,11,3
Huberdeau J.,11,3
Kemp P.,11,3
Soderstrom V.,11,3
Dillon B.,11,2
Eyssimont M.,11,2
Juulsen N.,11,2
Kelly P.,11,2
Kuraly S.,11,2
Miromanov D.,11,2
Nosek T.,11,2
Ottavainen V.,11,2
Snuggerud J.,11,2
Wiesblatt O.,11,2
Blais S.,11,1
Cole I.,11,1
Cotter P.,11,1
Duhaime B.,11,1
Finnie E.,11,1
Goldsmith T.,11,1
Jones Z.,11,1
Klapka A.,11,1
Mangiapane A.,11,1
Nazar F.,11,1
Nystrom J.,11,1
Oleksiak J.,11,1
Peeke A.,11,1
Reinbacher D.,11,1
Solberg S.,11,1
Toropchenko A.,11,1
Trudeau W.,11,1
Willander T.,11,1
Bjorkstrand O.,11,0
Bohlsen K.,11,0
Breen L.,11,0
Cooley S.,11,0
Cristall A.,11,0
Dumoulin B.,11,0
Henry T.,11,0
Hunt D.,11,0
Jokiharju H.,11,0
Killorn A.,11,0
Kolesar K.,11,0
MacDonald J.,11,0
Mateiko E.,11,0
Protas I.,11,0
Viel J.,11,0
Armia J.,10,9
Bichsel L.,10,9
Bjornfot T.,10,9
Borgen W.,10,9
Connelly T.,10,9
Dach K.,10,9
Demek J.,10,9
Diotte M.,10,9
Edwards E.,10,9
Gustafson J.,10,9
Hamonic T.,10,9
Hutson Q.,10,9
Chibrikov N.,10,9
Koepke C.,10,9
Laughton S.,10,9
Metsa Z.,10,9
Osipov D.,10,9
Robertson N.,10,9
Stenlund K.,10,9
Strand A.,10,9
Thrun H.,10,9
Vilen T.,10,9
White C.,10,9
Casey S.,10,8
Evans J.,10,8
Fleury H.,10,8
Ginning A.,10,8
Helenius S.,10,8
Jaaska J.,10,8
Kartye T.,10,8
Kerfoot A.,10,8
Moore I.,10,8
Newhook A.,10,8
Stecher T.,10,8
Ellis R.,10,7
Fabbri R.,10,7
Hathaway G.,10,7
Chisholm D.,10,7
Chmelar J.,10,7
Kovacevic J.,10,7
Mackey C.,10,7
McLeod R.,10,7
Miroshnichenko I.,10,7
Paliani D.,10,7
Sourdif J.,10,7
Swick T.,10,7
Sykora A.,10,7
Šapovaliv M.,10,7
Toews J.,10,7
Uchacz K.,10,7
Uronen T.,10,7
Vaisanen K.,10,7
Wall K.,10,7
Carrier A.,10,6
Farabee J.,10,6
Johansson A.,10,6
Kleven T.,10,6
Koppanen J.,10,6
Mailloux L.,10,6
Malott J.,10,6
Meyer C.,10,6
Pachal B.,10,6
Robinson E.,10,6
Samson E.,10,6
Wotherspoon P.,10,6
Crozier M.,10,5
Engvall P.,10,5
Howard I.,10,5
Luneau T.,10,5
Minten F.,10,5
Mukhamadullin S.,10,5
Namestnikov V.,10,5
Sharangovich Y.,10,5
Svechkov F.,10,5
Warren M.,10,5
Wright S.,10,5
York C.,10,5
Addison C.,10,4
Andrae E.,10,4
Gritsyuk A.,10,4
Jeannot T.,10,4
Jost T.,10,4
Kudryavtsev K.,10,4
Rempal S.,10,4
Rifai M.,10,4
Sabourin S.,10,4
Smith R.,10,4
Tsyplakov M.,10,4
Alriksson V.,10,3
Bernard-Docker J.,10,3
Boqvist A.,10,3
Danforth J.,10,3
Dervin K.,10,3
Hayden J.,10,3
Jiříček D.,10,3
Kambeitz D.,10,3
Klimovich D.,10,3
Kravtsov V.,10,3
Kunz J.,10,3
Mantha A.,10,3
Ravinskis A.,10,3
Stillman C.,10,3
Veleno J.,10,3
Walker C.,10,3
Wouters C.,10,3
Bahl K.,10,2
Callahan M.,10,2
Ford P.,10,2
Pageau J.,10,2
Savoie M.,10,2
Seguin T.,10,2
Bjugstad N.,10,1
Brandsegg-Nygard M.,10,1
Brunicke H.,10,1
D'Astous C.,10,1
Dach C.,10,1
Domi M.,10,1
Holl J.,10,1
Huuhtanen N.,10,1
Kaliyev A.,10,1
Kotkaniemi J.,10,1
Kozak T.,10,1
Noesen S.,10,1
Pitlick T.,10,1
Stastney S.,10,1
Anderson J.,10,0
Cirelli A.,10,0
Dean Z.,10,0
Dowd N.,10,0
Dunne J.,10,0
Dvorak C.,10,0
Kastelic M.,10,0
Lazar C.,10,0
Lundkvist N.,10,0
Pettersson M.,10,0
Sennecke B.,10,0
Alexeyev A.,9,9
Brisebois G.,9,9
Demidov I.,9,9
Doty J.,9,9
Funk Z.,9,9
Gustafsson D.,9,9
Isogai K.,9,9
Mueller T.,9,9
Murphy C.,9,9
Nyquist G.,9,9
O'Hara R.,9,9
Perreault G.,9,9
Smith G.,9,9
Ahcan J.,9,8
Bogosian Z.,9,8
Fegaras G.,9,8
Geertsen M.,9,8
Hinostroza V.,9,8
Joseph M.,9,8
Joseph P.,9,8
Lavoie R.,9,8
Mahura J.,9,8
McDonagh R.,9,8
Minnetian A.,9,8
Mintyukov P.,9,8
Petrovic A.,9,8
Soderblom E.,9,8
Soucy C.,9,8
Strome R.,9,8
Washe T.,9,8
Xhekaj A.,9,8
Cagnoni L.,9,7
Cizikas C.,9,7
Connors S.,9,7
Duchene M.,9,7
Duran R.,9,7
Friesen E.,9,7
Holtz A.,9,7
Landeskog G.,9,7
Lorentz S.,9,7
Nyman J.,9,7
Pearson T.,9,7
Regenda P.,9,7
Sarkenov A.,9,7
Senden M.,9,7
Tomasino P.,9,7
Weber S.,9,7
Zary C.,9,7
Catton B.,9,6
Drouin J.,9,6
LaBate J.,9,6
McDonald K.,9,6
Nesterenko N.,9,6
Rasmussen M.,9,6
Raty A.,9,6
Saad B.,9,6
Schuldt J.,9,6
Stephenson C.,9,6
Wheatcroft C.,9,6
Appleton M.,9,5
Brown P.,9,5
Colangelo S.,9,5
Jones B.,9,5
Kueffer D.,9,5
Levshunov A.,9,5
Megna J.,9,5
Moser J.,9,5
Nadeau B.,9,5
Sturm N.,9,5
Bertuzzi T.,9,4
Burroughs K.,9,4
Dickinson S.,9,4
Foligno N.,9,4
Gilbert D.,9,4
Imama B.,9,4
Reinhardt C.,9,4
Roy N.,9,4
Cousins N.,9,3
Jensen N.,9,3
Lambert B.,9,3
Lindell E.,9,3
Mermis D.,9,3
Sissons C.,9,3
Afanasyev E.,9,2
Amadio M.,9,2
Carlo B.,9,2
Ivany J.,9,2
Martin B.,9,2
Milne M.,9,2
Nurmi J.,9,2
Rooney K.,9,2
Valimaki J.,9,2
Avery J.,9,1
Bear E.,9,1
Boulton R.,9,1
Broz T.,9,1
De St. Phalle M.,9,1
Farinacci J.,9,1
Hayes A.,9,1
Hoffman B.,9,1
Janmark M.,9,1
Kämpf D.,9,1
Kurashev P.,9,1
McDonough A.,9,1
Taylor C.,9,1
Van Gorp E.,9,1
Yurov D.,9,1
Zonnon B.,9,1
Abols R.,9,0
Capobianco K.,9,0
Cowan E.,9,0
Deslauriers N.,9,0
Grzelcyk M.,9,0
Hodgson H.,9,0
Maccelli M.,9,0
Stienburg M.,9,0
Teravainen T.,9,0
Texier A.,9,0
Watson A.,9,0
Mayfield S.,8,9
O'Connor L.,8,9
Prishchepov N.,8,9
Sundqvist O.,8,9
Berggren J.,8,8
Boucher T.,8,8
Bourgault X.,8,8
Brazeau J.,8,8
Dorwart K.,8,8
Halliday S.,8,8
Hayes K.,8,8
Chaffee M.,8,8
Christiansen J.,8,8
Jones C.,8,8
Katic D.,8,8
Laczynski T.,8,8
Lysell F.,8,8
Matinpalo N.,8,8
Pettersson O.,8,8
Roy J.,8,8
Steeves A.,8,8
van R.,8,8
Washkurak K.,8,8
Harris J.,8,7
Heinen D.,8,7
Maatta O.,8,7
Milano S.,8,7
Misa M.,8,7
Pesce B.,8,7
Puustinen V.,8,7
Stephens M.,8,7
Wennberg A.,8,7
Yamamoto K.,8,7
Allan N.,8,6
Bancroft D.,8,6
Bean J.,8,6
Cronin R.,8,6
Frank E.,8,6
Gaudreau F.,8,6
Gourde Y.,8,6
Gridin M.,8,6
Harrison B.,8,6
Locmelis D.,8,6
Mancini V.,8,6
Musty Q.,8,6
Schwindt C.,8,6
Villeneuve-Houle D.,8,6
Danielson N.,8,5
Ellinas L.,8,5
George I.,8,5
Graves R.,8,5
Kemell J.,8,5
Lapierre H.,8,5
Luchanko J.,8,5
Meyers B.,8,5
Mikheyev I.,8,5
